Author;Date;Content;Attachments;
"Service Account#8102";"06-Oct-18 03:31 AM";"";"https://cdn.discordapp.com/attachments/497984219583217664/498079879049510914/getout.PNG";
"Service Account#8102";"06-Oct-18 03:31 AM";"thanks discord";"";
"Ghosting#4578";"06-Oct-18 04:52 AM";"ur friends are super nice";"";
"Service Account#8102";"06-Oct-18 04:52 AM";"yes";"";
"Ghosting#4578";"06-Oct-18 05:00 AM";"";"https://cdn.discordapp.com/attachments/497984219583217664/498102313315991552/image0.png";
"Service Account#8102";"06-Oct-18 05:00 AM";"cat";"";
"Ghosting#4578";"06-Oct-18 05:01 AM";"";"https://cdn.discordapp.com/attachments/497984219583217664/498102525824598037/image0.png";
"Ghosting#4578";"06-Oct-18 05:01 AM";"my cat is so pretty";"";
"Service Account#8102";"06-Oct-18 05:01 AM";"that is indeed a cat";"";
"Ghosting#4578";"06-Oct-18 05:02 AM";"sorry i do not talk much anymore";"";
"Service Account#8102";"06-Oct-18 05:02 AM";"wym";"";
"Ghosting#4578";"06-Oct-18 05:02 AM";"i havent tried to talk to you for a while";"";
"Service Account#8102";"06-Oct-18 05:02 AM";"aj";"";
"Service Account#8102";"06-Oct-18 05:02 AM";"ah";"";
"Service Account#8102";"06-Oct-18 05:02 AM";"to be frank me neither";"";
"Service Account#8102";"06-Oct-18 05:04 AM";"well have fun being alive";"";
"Ghosting#4578";"06-Oct-18 05:05 AM";"thanks mother";"";
"Service Account#8102";"06-Oct-18 05:05 AM";"no";"";
"Service Account#8102";"06-Oct-18 05:05 AM";"more";"";
"Service Account#8102";"06-Oct-18 05:05 AM";"of";"";
"Service Account#8102";"06-Oct-18 05:05 AM";"that";"";
"Ghosting#4578";"06-Oct-18 05:05 AM";"mother";"";
"Service Account#8102";"06-Oct-18 05:05 AM";"you are embarrassing the reich";"";
"Ghosting#4578";"06-Oct-18 05:05 AM";"okay, mother";"";
"Ghosting#4578";"06-Oct-18 05:05 AM";":]";"";
"Service Account#8102";"06-Oct-18 05:06 AM";"";"https://cdn.discordapp.com/attachments/497984219583217664/498103640511479808/crunch.PNG";
"Ghosting#4578";"06-Oct-18 05:06 AM";"oogh";"";
"Service Account#8102";"07-Oct-18 03:07 PM";"nevermind i have made mistake";"";
"Ghosting#4578";"07-Oct-18 08:21 PM";"whet";"";
"Service Account#8102";"07-Oct-18 08:21 PM";"is nothing";"";
"Ghosting#4578";"07-Oct-18 08:22 PM";"wht";"";
"Ghosting#4578";"07-Oct-18 08:22 PM";"wheeeat";"";
"Service Account#8102";"07-Oct-18 08:22 PM";"it";"";
"Service Account#8102";"07-Oct-18 08:22 PM";"was";"";
"Service Account#8102";"07-Oct-18 08:22 PM";"nothEng";"";
"Ghosting#4578";"07-Oct-18 08:23 PM";"wha";"";
"Ghosting#4578";"07-Oct-18 08:23 PM";"ttt";"";
"Ghosting#4578";"07-Oct-18 08:23 PM";"t";"";
"Ghosting#4578";"07-Oct-18 08:23 PM";"t";"";
"Service Account#8102";"07-Oct-18 08:23 PM";"ReEEE";"";
"Service Account#8102";"07-Oct-18 08:23 PM";"it";"";
"Service Account#8102";"07-Oct-18 08:23 PM";"was";"";
"Service Account#8102";"07-Oct-18 08:23 PM";"no thing";"";
"Service Account#8102";"07-Oct-18 08:23 PM";"it was not thing";"";
"Ghosting#4578";"07-Oct-18 08:23 PM";"wheat";"";
"Service Account#8102";"07-Oct-18 08:23 PM";"weet";"";
"Ghosting#4578";"07-Oct-18 08:23 PM";"whaoot";"";
"Service Account#8102";"07-Oct-18 08:24 PM";"";"https://cdn.discordapp.com/attachments/497984219583217664/498697123060252682/introduce.jpg";
"Ghosting#4578";"11-Oct-18 09:56 PM";"BONJOUR JE M'APPELLE FYNN";"";
"Service Account#8102";"11-Oct-18 09:57 PM";"hola, me llama lee";"";
"Ghosting#4578";"11-Oct-18 09:57 PM";"Idk if i spelt it right";"";
"Service Account#8102";"11-Oct-18 09:57 PM";"me neither i dont speak surrender";"";
"Ghosting#4578";"11-Oct-18 09:57 PM";"Wow fucking pussy";"";
"Service Account#8102";"11-Oct-18 09:57 PM";"u lil son of binch";"";
"Ghosting#4578";"11-Oct-18 09:57 PM";"No offence";"";
"Service Account#8102";"11-Oct-18 09:57 PM";"offense";"";
"Service Account#8102";"11-Oct-18 09:57 PM";"i've made that mistake before";"";
"Ghosting#4578";"11-Oct-18 09:57 PM";"ouch";"";
"Ghosting#4578";"11-Oct-18 09:58 PM";"Im wounded";"";
"Service Account#8102";"11-Oct-18 09:58 PM";"yikes my kikes";"";
"Ghosting#4578";"11-Oct-18 09:58 PM";"hmm m";"";
"Service Account#8102";"11-Oct-18 09:58 PM";"so how bored or mentally cucked are you right now to look at my name, click it, type something, and say ""Yes, i want to do that""";"";
"Ghosting#4578";"11-Oct-18 10:00 PM";"No";"";
"Service Account#8102";"11-Oct-18 10:00 PM";"no";"";
"Service Account#8102";"11-Oct-18 10:00 PM";"no what";"";
"Ghosting#4578";"11-Oct-18 10:00 PM";"Just no";"";
"Service Account#8102";"11-Oct-18 10:00 PM";"your existence is confusing";"";
"Ghosting#4578";"11-Oct-18 10:01 PM";"what";"";
"Ghosting#4578";"11-Oct-18 10:02 PM";"🙁";"https://cdn.discordapp.com/attachments/497984219583217664/500171326175182858/Screen_Shot_2018-10-12_at_4.02.00_pm.png";
"Service Account#8102";"11-Oct-18 10:02 PM";"you are such a brutal meanie";"";
"Ghosting#4578";"11-Oct-18 10:02 PM";"Not cool";"";
"Service Account#8102";"11-Oct-18 10:02 PM";"yeah man";"";
"Ghosting#4578";"11-Oct-18 10:03 PM";"Uncool you";"";
"Service Account#8102";"11-Oct-18 10:07 PM";"that's not nice";"";
"Service Account#8102";"11-Oct-18 10:07 PM";"for your crimes you will be skinned alive";"";
"Ghosting#4578";"11-Oct-18 10:08 PM";"ive reborneded";"";
"Service Account#8102";"11-Oct-18 10:08 PM";"you were rebirthed???";"";
"Service Account#8102";"11-Oct-18 10:09 PM";"go buy some fire insurance dude";"";
"Ghosting#4578";"11-Oct-18 10:09 PM";"";"https://cdn.discordapp.com/attachments/497984219583217664/500173258881237011/image0.png";
"Ghosting#4578";"11-Oct-18 10:10 PM";"shut the fuck up";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"nigga you know whats just fucked up";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"i was eating some popcorn seeds then i bit down on like";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"both of my cheeks";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"and its bleeding";"";
"Ghosting#4578";"11-Oct-18 10:10 PM";"oogh";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"why the fuck";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"did this happen";"";
"Ghosting#4578";"11-Oct-18 10:10 PM";"idoot";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"i didnt do anything";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"im being discriminated";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"upon";"";
"Service Account#8102";"11-Oct-18 10:10 PM";"for my religiois believs";"";
