Author;Date;Content;Attachments;
"linuxguy11#3353";"02-Jun-17 09:42 PM";"PROBLEM";"";
"linuxguy11#3353";"02-Jun-17 09:42 PM";"seriously, serious problem";"";
"linuxguy11#3353";"02-Jun-17 09:43 PM";"the perms for trusted are fucked up";"";
"linuxguy11#3353";"02-Jun-17 09:43 PM";"i can mute you server wide";"";
"linuxguy11#3353";"02-Jun-17 09:43 PM";"and move you to other rooms";"";
"Senvr#7635";"02-Jun-17 09:54 PM";"hey how good does youtube play on rpi";"";
"Senvr#7635";"02-Jun-17 09:54 PM";"3b";"";
"linuxguy11#3353";"02-Jun-17 09:55 PM";"idk";"";
"linuxguy11#3353";"02-Jun-17 09:55 PM";"they have an OS just for netflix, youtube, twitch, etc.";"";
"linuxguy11#3353";"02-Jun-17 09:55 PM";"it runs pretty good";"";
"Senvr#7635";"02-Jun-17 09:55 PM";"kodi?";"";
"linuxguy11#3353";"02-Jun-17 09:55 PM";"OpenELEC and XMBC";"";
"Senvr#7635";"02-Jun-17 09:56 PM";"o";"";
"Senvr#7635";"02-Jun-17 09:56 PM";"eh instead of 3 oses ill use 2";"";
"Senvr#7635";"02-Jun-17 09:56 PM";"and try to get youtube to work on raspbian";"";
"Senvr#7635";"02-Jun-17 09:56 PM";"I got pretty far once";"";
"Senvr#7635";"02-Jun-17 09:56 PM";"not bad framerate not bad quality no hitches";"";
"Senvr#7635";"02-Jun-17 09:56 PM";"(fullscreen)";"";
"linuxguy11#3353";"02-Jun-17 09:56 PM";"No its OSMC and LibreELEC";"";
"linuxguy11#3353";"02-Jun-17 09:57 PM";"OSMC is best for media centres";"";
"Senvr#7635";"02-Jun-17 09:57 PM";"ill use raspbian so i can have it as personal os too like for";"";
"linuxguy11#3353";"02-Jun-17 09:57 PM";"yep";"";
"Senvr#7635";"02-Jun-17 09:57 PM";"Projects or coding aswel as a youtube watching/internet station";"";
"linuxguy11#3353";"02-Jun-17 09:58 PM";"yep";"";
"linuxguy11#3353";"02-Jun-17 09:58 PM";"my raspberry pi has 4 wheels and a 8400 mah 10v battery";"";
"linuxguy11#3353";"02-Jun-17 09:58 PM";"no jk";"";
